shift_id,shift,units_per_hour,defect_rate,meets_sla
1,C,293.51,0.234,1
2,C,84.09,0.345,0
3,A,279.66,0.049,0
4,C,222.76,0.113,0
5,B,200.57,0.009,0
6,C,66.75,0.38,0
7,B,133.16,0.06,0
8,D,420.04,0.039,1
9,A,385.64,0.243,1
10,A,122.0,0.115,0
11,A,126.05,0.345,0
12,A,457.81,0.177,1
13,C,148.05,0.268,0
14,C,346.34,0.106,1
15,D,377.4,0.314,1
16,B,19.27,0.227,0
17,B,395.92,0.444,1
18,A,235.42,0.266,0
19,C,307.19,0.074,1
20,B,114.06,0.312,0
21,A,407.84,0.361,1
22,A,244.44,0.496,0
23,B,194.94,0.176,0
24,A,187.09,0.434,0
25,D,77.11,0.066,0
26,B,133.22,0.042,0
27,A,113.44,0.334,0
28,A,164.86,0.45,0
29,B,185.31,0.489,0
30,B,124.75,0.133,0
31,D,379.6,0.041,1
32,C,299.54,0.268,1
33,A,288.55,0.051,1
34,C,267.82,0.248,0
35,C,308.83,0.097,1
36,D,140.18,0.388,0
37,A,347.06,0.075,1
38,D,29.91,0.388,0
39,B,48.92,0.256,0
40,C,442.52,0.417,1
41,A,152.06,0.081,0
42,A,164.06,0.14,0
43,B,458.16,0.424,1
44,B,67.69,0.223,0
45,B,12.1,0.222,0
46,D,55.07,0.224,0
47,C,241.01,0.16,0
48,B,69.57,0.084,0
49,C,128.09,0.371,0
50,D,454.5,0.104,1
51,B,402.11,0.493,1
52,A,315.26,0.287,1
53,C,411.79,0.09,1
54,A,208.62,0.018,0
55,A,60.16,0.005,0
56,C,184.55,0.417,0
57,D,398.05,0.335,1
58,A,374.79,0.205,1
59,B,447.37,0.302,1
60,D,287.03,0.386,0
61,A,159.45,0.333,0
62,B,340.02,0.292,1
63,A,40.4,0.47,0
64,C,184.41,0.021,0
65,C,14.95,0.131,0
66,A,135.59,0.181,0
67,B,120.42,0.138,0
68,C,494.26,0.041,1
69,C,203.98,0.089,0
70,B,312.75,0.209,1
71,B,369.52,0.005,1
72,A,319.68,0.127,1
73,D,323.09,0.307,1
74,B,61.16,0.207,0
75,C,341.44,0.229,1
76,B,56.89,0.338,0
77,D,227.56,0.194,0
78,B,417.43,0.241,1
79,B,394.44,0.23,1
80,C,32.74,0.061,0
81,C,464.12,0.17,1
82,A,291.59,0.206,1
83,D,35.58,0.427,0
84,C,272.28,0.284,0
85,D,158.86,0.335,0
86,A,373.45,0.099,1
87,B,160.82,0.359,0
88,B,41.13,0.447,0
89,A,287.19,0.325,0
90,C,194.08,0.131,0
91,C,400.33,0.033,1
92,B,56.36,0.046,0
93,B,416.68,0.364,1
94,B,191.53,0.079,0
95,B,413.07,0.122,1
96,C,249.93,0.133,0
97,A,484.28,0.275,1
98,D,329.24,0.25,1
99,A,242.63,0.369,0
100,D,142.56,0.254,0
101,D,317.22,0.361,1
102,C,375.41,0.198,1
103,B,279.1,0.459,0
104,D,319.3,0.458,1
105,D,309.98,0.106,1
106,D,140.42,0.355,0
107,B,339.91,0.238,1
108,D,79.35,0.242,0
109,D,105.86,0.192,0
110,A,203.55,0.314,0
111,B,164.55,0.351,0
112,A,417.85,0.357,1
113,C,275.81,0.477,0
114,B,131.2,0.233,0
115,C,440.76,0.386,1
116,D,10.07,0.085,0
117,A,453.57,0.222,1
118,D,186.16,0.264,0
119,A,369.31,0.473,1
120,C,361.69,0.286,1
