date,department,project_count,avg_project_duration,budget_k,employee_count,actual_spend_k,revenue_k,customer_satisfaction,project_success_rate,risk_level
2020-01-01,Marketing,6,42,292.0,25,331.36,587.72,72.8,79.8,medium
2020-01-02,R&D,6,48,58.39,54,67.94,160.57,62.9,76.4,medium
2020-01-02,Marketing,7,38,127.27,57,109.98,210.56,84.2,89.1,medium
2020-01-02,HR,4,33,480.31,10,297.0,820.22,100.0,100.0,low
2020-01-05,Sales,5,28,461.72,36,335.65,1139.02,90.9,98.9,low
2020-01-05,R&D,10,35,120.04,29,177.72,270.83,63.9,68.6,high
2020-01-08,Finance,12,38,210.62,89,345.09,382.63,48.6,50.1,high
2020-01-09,Finance,5,46,163.53,149,184.67,237.96,72.3,87.5,medium
2020-01-09,IT,4,55,126.67,95,163.06,354.09,69.7,64.5,high
2020-01-10,Sales,6,30,350.82,61,376.84,756.34,68.2,82.3,medium
2020-01-12,IT,10,26,396.72,43,295.56,864.26,98.5,95.0,medium
2020-01-12,Operations,4,30,134.99,173,113.85,330.89,89.0,88.1,low
2020-01-14,HR,8,24,438.34,139,538.01,586.53,64.1,75.1,high
2020-01-15,Sales,2,23,58.12,25,32.27,151.74,100.0,100.0,low
2020-01-15,IT,8,7,63.67,188,33.56,122.94,95.4,100.0,medium
2020-01-16,Sales,7,45,325.36,174,336.2,632.51,70.6,80.8,medium
2020-01-17,R&D,6,31,162.02,127,144.86,435.6,85.1,88.7,low
2020-01-18,Marketing,10,28,195.57,30,206.34,301.73,73.0,76.3,medium
2020-01-19,Marketing,2,5,248.5,88,154.23,494.52,100.0,93.6,low
2020-01-20,R&D,6,30,409.22,122,630.92,1289.77,54.8,59.2,high
2020-01-21,R&D,6,18,496.92,110,464.91,1451.03,80.6,88.7,low
2020-01-21,Marketing,5,45,429.49,137,475.18,628.69,65.7,86.1,medium
2020-01-22,IT,3,28,304.83,196,304.87,699.68,84.5,97.7,low
2020-01-22,IT,5,44,266.3,36,278.45,646.56,79.2,81.9,low
2020-01-23,Marketing,5,22,289.22,89,323.34,503.9,70.3,81.2,medium
2020-01-25,R&D,9,23,409.86,109,467.85,914.25,65.6,80.2,medium
2020-01-27,Sales,7,29,327.86,121,338.93,874.58,81.4,86.2,medium
2020-01-28,Finance,8,28,98.51,119,93.7,170.06,80.1,90.2,medium
2020-01-28,Finance,3,25,378.81,164,376.34,739.95,80.1,89.7,low
2020-01-29,Operations,5,26,335.45,151,285.58,932.39,92.9,90.0,low
2020-02-02,R&D,11,42,345.79,76,504.72,1049.43,62.2,56.5,high
2020-02-02,Finance,6,30,141.7,185,90.39,278.5,92.8,100.0,low
2020-02-04,Finance,6,26,80.01,190,69.86,172.43,83.6,99.7,low
2020-02-04,Operations,7,18,290.08,49,301.63,704.93,70.2,82.2,medium
2020-02-05,R&D,5,47,485.69,197,630.47,1581.19,65.6,75.6,high
2020-02-05,R&D,3,24,188.95,129,142.47,430.66,95.0,100.0,low
2020-02-06,HR,4,23,295.66,142,142.11,480.42,100.0,100.0,low
2020-02-06,IT,3,25,367.16,176,202.37,896.06,100.0,98.2,low
2020-02-06,R&D,4,21,130.11,123,164.83,290.79,59.8,81.0,high
2020-02-07,Operations,4,13,241.75,161,200.12,559.32,84.1,86.5,low
2020-02-08,Sales,5,56,136.17,40,174.31,288.32,59.8,73.3,high
2020-02-08,Operations,6,29,185.67,175,224.5,560.78,70.3,79.8,high
2020-02-08,Sales,7,35,303.13,88,365.41,740.89,65.3,79.9,high
2020-02-10,Finance,7,21,193.17,157,189.22,413.2,90.2,92.7,medium
2020-02-10,Finance,4,5,336.3,135,198.13,699.36,100.0,99.0,low
2020-02-10,Operations,5,31,50.71,149,42.74,127.3,96.7,81.0,low
2020-02-11,R&D,4,36,297.78,189,385.41,662.27,56.4,87.7,high
2020-02-12,Sales,5,25,256.23,108,202.43,596.71,85.1,94.0,low
2020-02-15,HR,6,29,292.13,88,237.59,507.1,91.9,85.4,low
2020-02-16,Sales,5,23,175.12,119,139.1,362.98,85.6,96.2,low
2020-02-16,Finance,3,36,53.27,141,50.05,88.39,84.3,85.0,low
2020-02-16,R&D,6,44,390.86,169,543.27,1081.99,64.0,66.9,high
